24,2,6,1,3,3,3,1,3,2,0,0,2,0,0,0|9.7599
24,2,6,1,6,3,3,1,2,2,0,0,3,0,0,0|9.7815
24,2,6,1,6,6,1,3,2,2,0,0,3,0,0,0|9.8238
24,2,6,1,12,1,3,2,2,2,0,0,3,0,0,0|9.7566
24,3,6,3,12,2,3,0,2,0,0,0,3,0,0,1|9.6201
24,3,6,3,12,2,3,0,2,0,0,1,3,0,0,3|9.7643
24,3,6,3,12,2,3,0,2,0,1,0,3,0,3,1|9.9491
24,3,6,3,12,2,3,0,2,0,1,1,3,0,3,2|10.1245
24,3,6,3,12,2,3,1,2,0,1,2,3,0,3,1|10.3006
24,3,6,3,12,2,3,1,2,1,2,2,3,3,1,0|10.4774
24,3,6,3,12,3,3,3,2,3,3,0,3,0,0,1|10.1749
24,6,6,6,12,3,6,0,2,0,0,1,3,0,3,0|9.8930
24,6,12,6,12,3,0,1,2,0,3,0,3,0,0,1|9.9018
24,6,12,6,12,3,3,1,2,0,0,1,3,0,2,0|10.1113
24,6,12,6,12,6,1,0,2,0,1,3,3,2,0,0|10.1215
24,6,12,6,12,6,1,0,2,1,3,2,3,2,0,0|10.3225
24,12,12,6,12,1,1,2,2,2,3,0,3,2,0,0|10.3341
24,12,12,6,12,3,1,2,2,2,3,0,3,3,0,0|10.3265
24,24,6,0,12,3,3,3,2,2,3,0,6,0,0,0|9.7896
24,24,6,3,12,3,6,0,2,2,0,0,6,0,0,2|9.8334
24,24,12,3,12,3,0,0,2,2,0,2,6,0,1,0|9.8080
24,24,12,3,12,3,0,2,2,2,1,0,6,0,1,0|10.0033
48,12,3,0,12,3,2,1,2,3,0,0,6,1,0,0|9.1694
48,12,3,1,12,6,2,0,2,1,0,0,6,0,0,3|9.1663
48,12,3,1,12,6,2,0,3,0,0,0,6,0,3,2|9.1839
48,12,3,1,12,6,2,0,3,0,0,0,6,3,2,2|9.3823
48,12,3,1,12,6,2,0,3,3,2,2,6,0,1,0|9.5715
48,12,3,1,12,6,2,0,6,2,2,1,6,1,0,0|9.6416
48,12,3,1,12,6,2,0,6,2,3,3,6,1,0,0|9.6624
